occasion,count
casual,9457
Casual,513
athletic,247
smart casual,60
formal,51
"casual, formal",37
smart-casual,26
"casual, athletic",20
travel,15
"casual, outdoor",14
outdoor,12
Athletic,9
collectible,6
"Casual, Formal",6
"casual, smart",5
"casual, semi-formal",5
decorative,4
"formal, casual",4
"smart, casual",4
"Casual, Outdoor",3
hiking,3
Lifestyle,2
lifestyle,2
"Casual, Smart casual",2
Smart-Casual,2
"Casual, Athletic",2
"casual, work",2
Smart-casual,2
"casual, smart-casual",2
bedtime,2
Smart Casual,2
Formal,2
smart or casual,2
active,2
"outdoor, casual",2
Smart casual,2
everyday wear,2
everyday,2
home decor,2
dining,1
Casual/Work,1
"Casual, Streetwear",1
"casual, commuter, travel",1
grooming,1
"Beach, Poolside",1
"casual, skate",1
"Smart-casual, casual",1
daily use,1
"functional, decorative",1
"casual, office, shopping",1
"active, casual",1
casual/formal,1
"athletic, leisure",1
Travel,1
"casual, outdoor, hiking",1
Outdoor Cooking,1
"casual, outdoor, travel",1
"outdoor, camping",1
"outdoors, camping",1
all-weather,1
"casual, sophisticated",1
daily use and display,1
smart and casual,1
vacation,1
"casual, refined",1
"casual, sporty",1
Evening,1
refined,1
suitable for outdoor use,1
"casual, entertaining",1
"lifestyle, hiking, walking",1
outdoor adventures,1
athleisure,1
"Trail, Lifestyle",1
day-to-day wear,1
"smart, formal",1
self-care,1
selfcare,1
"casual, special occasion",1
loungewear,1
functional,1
kitchen,1
"casual, lifestyle, walking",1
"Everyday, Special occasions",1
"casual, business, travel",1
collector's piece,1
most occasions,1
workwear,1
"casual, active wear",1
"formal, everyday",1
"work, casual",1
"versatile, everyday wear",1
"poolside, beach outing",1
"casual, formal, athletic",1
"casual, evening",1
Outdoor,1
